"super_code","j_code","start_date","end_date","count"
"I10","061500","2021/10/1","2021/10/31","0"
"YDE","061500","2021/10/1","2021/10/31","93"
"MS2","061840","2021/10/1","2021/10/31","1,008"
"HC7","062030","2021/10/1","2021/10/31","30"
"MS2","062360","2021/10/1","2021/10/31","1,833"
"NTN","062360","2021/10/1","2021/10/31","285"
"HC7","062470","2021/10/1","2021/10/31","1,551"
"MS2","062470","2021/10/1","2021/10/31","322"
"MS2","062550","2021/10/1","2021/10/31","806"
"YSH","062760","2021/10/1","2021/10/31","0"
"MS2","062790","2021/10/1","2021/10/31","697"
"RJS","062990","2021/10/1","2021/10/31","0"
"S31","062990","2021/10/1","2021/10/31","0"
"MS2","063060","2021/10/1","2021/10/31","290"
"NTN","063240","2021/10/1","2021/10/31","1"
"YSH","063500","2021/10/1","2021/10/31","457"
"HC7","065310","2021/10/1","2021/10/31","895"
"I10","066180","2021/10/1","2021/10/31","0"
"IKR","066180","2021/10/1","2021/10/31","1,455"
"NTN","066490","2021/10/1","2021/10/31","0"
"KSE","067210","2021/10/1","2021/10/31","7,377"
"ON3","067640","2021/10/1","2021/10/31","371"
"ON6","067640","2021/10/1","2021/10/31","253"
"ON9","067640","2021/10/1","2021/10/31","105"
"ONS","067640","2021/10/1","2021/10/31","0"
"S30","067640","2021/10/1","2021/10/31","0"
"HC7","068240","2021/10/1","2021/10/31","411"
"FGS","068420","2021/10/1","2021/10/31","0"
"HC7","068420","2021/10/1","2021/10/31","448"
"OUK","068430","2021/10/1","2021/10/31","208"
"B01","068430","2021/10/1","2021/10/31","94"
"PSO","068540","2021/10/1","2021/10/31","84"
"NTN","068640","2021/10/1","2021/10/31","42"
"GRH","070020","2021/10/1","2021/10/31","267"
"HC7","070020","2021/10/1","2021/10/31","29"
"GRH","070120","2021/10/1","2021/10/31","2"
"GRH","070140","2021/10/1","2021/10/31","181"
"HC7","070870","2021/10/1","2021/10/31","55"
"NTN","073020","2021/10/1","2021/10/31","17"
"ANK","074140","2021/10/1","2021/10/31","0"
"HC7","074510","2021/10/1","2021/10/31","0"
"GRH","074680","2021/10/1","2021/10/31","186"
"S31","075250","2021/10/1","2021/10/31","0"
"YOK","075250","2021/10/1","2021/10/31","0"
"NTN","075300","2021/10/1","2021/10/31","15"
"NTN","075330","2021/10/1","2021/10/31","151"
"SMJ","075330","2021/10/1","2021/10/31","968"
"MKR","075810","2021/10/1","2021/10/31","0"
"FKS","075870","2021/10/1","2021/10/31","0"
"NTN","075970","2021/10/1","2021/10/31","207"
"NTN","076000","2021/10/1","2021/10/31","18"
"NTN","076650","2021/10/1","2021/10/31","3"
"NTN","076730","2021/10/1","2021/10/31","205"
"HIH","078630","2021/10/1","2021/10/31","0"
"JFK","078630","2021/10/1","2021/10/31","0"
"TRC","078630","2021/10/1","2021/10/31","1"
"HC7","078660","2021/10/1","2021/10/31","737"
"NTN","079860","2021/10/1","2021/10/31","6"
"NTN","082840","2021/10/1","2021/10/31","0"
"NTN","083150","2021/10/1","2021/10/31","22"
"NTN","084540","2021/10/1","2021/10/31","46"
"SES","086280","2021/10/1","2021/10/31","22"
"UIS","086280","2021/10/1","2021/10/31","41"
"HC7","087610","2021/10/1","2021/10/31","124"
"UIS","088340","2021/10/1","2021/10/31","0"
"R02","088980","2021/10/1","2021/10/31","0"
"012","089680","2021/10/1","2021/10/31","799"
"R01","089680","2021/10/1","2021/10/31","0"
"NTN","090620","2021/10/1","2021/10/31","33"
"NWT","090620","2021/10/1","2021/10/31","0"
"SK6","090890","2021/10/1","2021/10/31","254"
"NTN","091820","2021/10/1","2021/10/31","58"
"NTN","092620","2021/10/1","2021/10/31","156"
"NTN","092630","2021/10/1","2021/10/31","1"
"I10","092660","2021/10/1","2021/10/31","0"
"NTN","092660","2021/10/1","2021/10/31","308"
"NTN","092670","2021/10/1","2021/10/31","24"
"ADG","093040","2021/10/1","2021/10/31","0"
"ADG","093060","2021/10/1","2021/10/31","0"
"OHR","093160","2021/10/1","2021/10/31","0"
"HC7","093660","2021/10/1","2021/10/31","16"
"SSI","094280","2021/10/1","2021/10/31","0"
"NTN","094790","2021/10/1","2021/10/31","0"
"TJY","095970","2021/10/1","2021/10/31","1,533"
"ISY","098250","2021/10/1","2021/10/31","8,620"
"M22","098250","2021/10/1","2021/10/31","0"
"S31","098250","2021/10/1","2021/10/31","0"
"JID","100660","2021/10/1","2021/10/31","0"
"HC7","101960","2021/10/1","2021/10/31","0"
"NTN","104980","2021/10/1","2021/10/31","61"
"NTN","105560","2021/10/1","2021/10/31","0"
"CKG","105700","2021/10/1","2021/10/31","662"
"I10","105700","2021/10/1","2021/10/31","0"
"KYK","105700","2021/10/1","2021/10/31","0"
"OIS","105700","2021/10/1","2021/10/31","1,258"
"ANK","105850","2021/10/1","2021/10/31","529"
"JYS","105850","2021/10/1","2021/10/31","0"
"NSK","105850","2021/10/1","2021/10/31","35"
"R02","107070","2021/10/1","2021/10/31","0"
"HC7","107450","2021/10/1","2021/10/31","0"
"I10","107560","2021/10/1","2021/10/31","0"
"STK","107560","2021/10/1","2021/10/31","0"
"STK","111470","2021/10/1","2021/10/31","0"
"J06","111700","2021/10/1","2021/10/31","0"
"M24","111700","2021/10/1","2021/10/31","0"
"PKS","111700","2021/10/1","2021/10/31","1"
"PKS","111800","2021/10/1","2021/10/31","145"
"FFL","112260","2021/10/1","2021/10/31","574"
"OIS","112260","2021/10/1","2021/10/31","1,551"
"STK","112650","2021/10/1","2021/10/31","0"
"SFG","114940","2021/10/1","2021/10/31","0"
"SFY","115340","2021/10/1","2021/10/31","0"
"B11","116020","2021/10/1","2021/10/31","0"
"HC7","116470","2021/10/1","2021/10/31","72"
"R01","116470","2021/10/1","2021/10/31","0"
"GRH","117820","2021/10/1","2021/10/31","22"
"CSD","119190","2021/10/1","2021/10/31","76,866"
"ANK","119510","2021/10/1","2021/10/31","0"
"HC7","120370","2021/10/1","2021/10/31","391"
"HC7","120400","2021/10/1","2021/10/31","123"
"SFM","122670","2021/10/1","2021/10/31","0"
"PS2","123030","2021/10/1","2021/10/31","0"
"PSO","123030","2021/10/1","2021/10/31","61"
"HC7","124760","2021/10/1","2021/10/31","5"
"HC7","124790","2021/10/1","2021/10/31","47"
